endbr64(0x202140:0.39812932:0.00000000:0.00000000)	xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp
push(0x202430:0.43635624:0.00000000:0.00000000) rbp	mov(0x202431:0.43635624:0.00000000:0.03846154) rbp rsp
mov(0x202431:0.43635624:0.00000000:0.03846154) rbp rsp	sub(0x202434:0.43635624:0.00000000:0.15384615) rsp 0x40
sub(0x202434:0.43635624:0.00000000:0.15384615) rsp 0x40	mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0
mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0	mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi
mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi	mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
mov(0x202431:0.43635624:0.00000000:0.03846154) rbp rsp	sub(0x202434:0.43635624:0.00000000:0.15384615) rsp 0x40
sub(0x202434:0.43635624:0.00000000:0.15384615) rsp 0x40	mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0
mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0	mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi
mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi	mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]
mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]	mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]
mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]	mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax
mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax	jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)
jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0
cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0	jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)
jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)	mov(0x2024b2:0.43635624:0.13584117:0.00000000) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]
mov(0x2024b2:0.43635624:0.13584117:0.00000000) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]	mov(0x2024ba:0.43635624:0.13584117:0.14285714) rsi qword [ rbp - 0x10 ]
mov(0x2024ba:0.43635624:0.13584117:0.14285714) rsi qword [ rbp - 0x10 ]	call(0x2024be:0.43635624:0.13584117:0.21428571) address(0x202960:0.50386336:0.00000000:0.00000000)
call(0x2024be:0.43635624:0.13584117:0.21428571) address(0x202960:0.50386336:0.00000000:0.00000000)	mov(0x2024c3:0.43635624:0.13584117:0.30357143) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]
mov(0x2024c3:0.43635624:0.13584117:0.30357143) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]	mov(0x2024cb:0.43635624:0.13584117:0.44642857) rsi address(0x200fa0:0.15290769:0.74820144:0.00000000)
mov(0x2024cb:0.43635624:0.13584117:0.44642857) rsi address(0x200fa0:0.15290769:0.74820144:0.00000000)	mov(0x2024d5:0.43635624:0.13584117:0.62500000) edx 0x42
mov(0x2024d5:0.43635624:0.13584117:0.62500000) edx 0x42	mov(0x2024da:0.43635624:0.13584117:0.71428571) ecx 0x10000
mov(0x2024da:0.43635624:0.13584117:0.71428571) ecx 0x10000	call(0x2024df:0.43635624:0.13584117:0.80357143) address(0x202970:0.50467670:0.00000000:0.00000000)
call(0x2024df:0.43635624:0.13584117:0.80357143) address(0x202970:0.50467670:0.00000000:0.00000000)	mov(0x2024e4:0.43635624:0.13584117:0.89285714) dword [ rbp - 0x30 ] eax
mov(0x2024e4:0.43635624:0.13584117:0.89285714) dword [ rbp - 0x30 ] eax	cmp(0x2024e7:0.43635624:0.13584117:0.94642857) eax 0x0
cmp(0x2024e7:0.43635624:0.13584117:0.94642857) eax 0x0	jge(0x2024ea:0.43635624:0.13584117:1.00000000) address(0x202511:0.43635624:0.23510972:0.00000000)
jge(0x2024ea:0.43635624:0.13584117:1.00000000) address(0x202511:0.43635624:0.23510972:0.00000000)	mov(0x202511:0.43635624:0.23510972:0.00000000) rdi qword [ rel address(0x204df8:0.97641318:0.80898876:0.00000000) ]
mov(0x202511:0.43635624:0.23510972:0.00000000) rdi qword [ rel address(0x204df8:0.97641318:0.80898876:0.00000000) ]	mov(0x202518:0.43635624:0.23510972:0.07216495) esi 0x1
mov(0x202518:0.43635624:0.23510972:0.07216495) esi 0x1	call(0x20251d:0.43635624:0.23510972:0.12371134) address(0x202980:0.50549004:0.00000000:0.00000000)
call(0x20251d:0.43635624:0.23510972:0.12371134) address(0x202980:0.50549004:0.00000000:0.00000000)	jmp(0x202980:0.50549004:0.00000000:0.00000000) qword [ rel address(0x204d20:0.96136641:0.51351351:0.00000000) ]
sub(0x202434:0.43635624:0.00000000:0.15384615) rsp 0x40	mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0
mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0	mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi
mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi	mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]
mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]	mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]
mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]	mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax
mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax	jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)
jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0
cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0	jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)
jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)	mov(0x20248d:0.43635624:0.09717868:0.00000000) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
mov(0x20248d:0.43635624:0.09717868:0.00000000) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x202494:0.43635624:0.09717868:0.21875000) rdi qword [ rax ]
mov(0x202494:0.43635624:0.09717868:0.21875000) rdi qword [ rax ]	mov(0x202497:0.43635624:0.09717868:0.31250000) rsi address(0x200fcc:0.15290769:0.85371703:0.00000000)
mov(0x202497:0.43635624:0.09717868:0.31250000) rsi address(0x200fcc:0.15290769:0.85371703:0.00000000)	mov(0x2024a1:0.43635624:0.09717868:0.62500000) al 0x0
mov(0x2024a1:0.43635624:0.09717868:0.62500000) al 0x0	call(0x2024a3:0.43635624:0.09717868:0.68750000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2024a3:0.43635624:0.09717868:0.68750000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2028b0:0.49491663:0.00000000:0.00000000) qword [ rel address(0x204cb8:0.96136641:0.16216216:0.00000000) ]
mov(0x202438:0.43635624:0.00000000:0.30769231) dword [ rbp - 0x34 ] 0x0	mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi
mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi	mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
mov(0x20243f:0.43635624:0.00000000:0.57692308) dword [ rbp - 0x14 ] edi	mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
mov(0x202442:0.43635624:0.00000000:0.69230769) qword [ rbp - 0x28 ] rsi	cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
cmp(0x202446:0.43635624:0.00000000:0.84615385) dword [ rbp - 0x14 ] 0x2	jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
jne(0x20244a:0.43635624:0.00000000:1.00000000) address(0x20245a:0.43635624:0.04388715:0.00000000)	mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]
mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]	mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]
mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]	mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax
mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax	jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)
jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
mov(0x20245a:0.43635624:0.04388715:0.00000000) rax address(0x200f2b:0.15290769:0.46762590:0.00000000)	mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0
cmp(0x202488:0.43635624:0.05851620:0.91428571) eax 0x0	jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)
jge(0x20248b:0.43635624:0.05851620:1.00000000) address(0x2024b2:0.43635624:0.13584117:0.00000000)	mov(0x2024b2:0.43635624:0.13584117:0.00000000) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]
mov(0x2024b2:0.43635624:0.13584117:0.00000000) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]	mov(0x2024ba:0.43635624:0.13584117:0.14285714) rsi qword [ rbp - 0x10 ]
mov(0x2024ba:0.43635624:0.13584117:0.14285714) rsi qword [ rbp - 0x10 ]	call(0x2024be:0.43635624:0.13584117:0.21428571) address(0x202960:0.50386336:0.00000000:0.00000000)
call(0x2024be:0.43635624:0.13584117:0.21428571) address(0x202960:0.50386336:0.00000000:0.00000000)	jmp(0x202960:0.50386336:0.00000000:0.00000000) qword [ rel address(0x204d10:0.96136641:0.45945946:0.00000000) ]
mov(0x20244c:0.43635624:0.02925810:0.00000000) rax qword [ rbp - 0x28 ]	mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]
mov(0x202450:0.43635624:0.02925810:0.33333333) rax qword [ rax + 0x8 ]	mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax
mov(0x202454:0.43635624:0.02925810:0.66666667) qword [ rbp - 0x10 ] rax	jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)
jmp(0x202458:0.43635624:0.02925810:1.00000000) address(0x202468:0.43635624:0.05851620:0.00000000)	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx	call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)
call(0x202483:0.43635624:0.05851620:0.77142857) address(0x202940:0.50223668:0.00000000:0.00000000)	jmp(0x202940:0.50223668:0.00000000:0.00000000) qword [ rel address(0x204d00:0.96136641:0.40540541:0.00000000) ]
mov(0x202464:0.43635624:0.04388715:1.00000000) qword [ rbp - 0x10 ] rax	mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)
mov(0x202468:0.43635624:0.05851620:0.00000000) rdi address(0x204df8:0.97641318:0.80898876:0.00000000)	mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)
mov(0x202472:0.43635624:0.05851620:0.28571429) rsi address(0x200f20:0.15290769:0.44124700:0.00000000)	mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2
mov(0x20247c:0.43635624:0.05851620:0.57142857) edx 0x2	xor(0x202481:0.43635624:0.05851620:0.71428571) ecx ecx
